CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,4/8/1966,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,8/12/1965,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,8/8/1968,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,8/5/1965,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,5/9/1964,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11021,MS.,DESTINY,WILSON,9/3/1978,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,10/12/1978,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,10/11/1978,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,9/17/1978,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11216,MRS.,JASMINE,TORRES,5/20/1950,S,F,jasmine32@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11217,MRS.,NATALIE,ADAMS,2/11/1950,S,F,natalie58@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11218,MRS.,OLIVIA,BROWN,9/11/1950,S,F,olivia4@adventure-works.com,"$60,000 ",2,Partial College,Professional,N
11219,MR.,CHARLES,COOK,12/2/1950,M,M,charles69@adventure-works.com,"$60,000 ",2,High School,Professional,Y
11220,MRS.,ERICA,HUANG,2/23/1950,M,F,erica5@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11221,MR.,NATHAN,PERRY,6/10/1950,M,M,nathan3@adventure-works.com,"$70,000 ",4,Partial College,Professional,Y
11222,MRS.,ALEXANDRA,RIVERA,8/17/1950,M,F,alexandra11@adventure-works.com,"$80,000 ",3,Bachelors,Management,Y
